-100	0	10000
-99	1	8614
-98	2	7256
-97	3	5926
-96	4	4624
-95	5	3350
-94	6	2104
-93	7	886
-92	8	-304
-91	9	-1466
-90	10	-2600
-89	11	-3706
-88	12	-4784
-87	13	-5834
-86	14	-6856
-85	15	-7850
-84	16	-8816
-83	17	-9754
-82	18	-10664
-81	19	-11546
-80	20	-12400
-79	21	-13226
-78	22	-14024
-77	23	-14794
-76	24	-15536
-75	25	-16250
-74	26	-16936
-73	27	-17594
-72	28	-18224
-71	29	-18826
-70	30	-19400
-69	31	-19946
-68	32	-20464
-67	33	-20954
-66	34	-21416
-65	35	-21850
-64	36	-22256
-63	37	-22634
-62	38	-22984
-61	39	-23306
-60	40	-23600
-59	41	-23866
-58	42	-24104
-57	43	-24314
-56	44	-24496
-55	45	-24650
-54	46	-24776
-53	47	-24874
-52	48	-24944
-51	49	-24986
-50	50	-25000
-49	51	-24986
-48	52	-24944
-47	53	-24874
-46	54	-24776
-45	55	-24650
-44	56	-24496
-43	57	-24314
-42	58	-24104
-41	59	-23866
-40	60	-23600
-39	61	-23306
-38	62	-22984
-37	63	-22634
-36	64	-22256
-35	65	-21850
-34	66	-21416
-33	67	-20954
-32	68	-20464
-31	69	-19946
-30	70	-19400
-29	71	-18826
-28	72	-18224
-27	73	-17594
-26	74	-16936
-25	75	-16250
-24	76	-15536
-23	77	-14794
-22	78	-14024
-21	79	-13226
-20	80	-12400
-19	81	-11546
-18	82	-10664
-17	83	-9754
-16	84	-8816
-15	85	-7850
-14	86	-6856
-13	87	-5834
-12	88	-4784
-11	89	-3706
-10	90	-2600
-9	91	-1466
-8	92	-304
-7	93	886
-6	94	2104
-5	95	3350
-4	96	4624
-3	97	5926
-2	98	7256
-1	99	8614
0	100	10000
1	101	11414
2	102	12856
3	103	14326
4	104	15824
5	105	17350
6	106	18904
7	107	20486
8	108	22096
9	109	23734
10	110	25400
11	111	27094
12	112	28816
13	113	30566
14	114	32344
15	115	34150
16	116	35984
17	117	37846
18	118	39736
19	119	41654
20	120	43600
21	121	45574
22	122	47576
23	123	49606
24	124	51664
25	125	53750
26	126	55864
27	127	58006
28	128	60176
29	129	62374
30	130	64600
31	131	66854
32	132	69136
33	133	71446
34	134	73784
35	135	76150
36	136	78544
37	137	80966
38	138	83416
39	139	85894
40	140	88400
41	141	90934
42	142	93496
43	143	96086
44	144	98704
45	145	101350
46	146	104024
47	147	106726
48	148	109456
49	149	112214
50	150	115000
51	151	117814
52	152	120656
53	153	123526
54	154	126424
55	155	129350
56	156	132304
57	157	135286
58	158	138296
59	159	141334
60	160	144400
61	161	147494
62	162	150616
63	163	153766
64	164	156944
65	165	160150
66	166	163384
67	167	166646
68	168	169936
69	169	173254
70	170	176600
71	171	179974
72	172	183376
73	173	186806
74	174	190264
75	175	193750
76	176	197264
77	177	200806
78	178	204376
79	179	207974
80	180	211600
81	181	215254
82	182	218936
83	183	222646
84	184	226384
85	185	230150
86	186	233944
87	187	237766
88	188	241616
89	189	245494
90	190	249400
91	191	253334
92	192	257296
93	193	261286
94	194	265304
95	195	269350
96	196	273424
97	197	277526
98	198	281656
99	199	285814
100	200	290000
